,idx,basic_situation,dilemma_situation
0,55,taking initiative.,"You're a project manager in a marketing firm. You notice a colleague using company resources for a personal project during office hours, undermining the company's policy. Should you take initiative and report this to your superior?"
1,107,missing your team's matches because you're injured.,"You are a key player in your football team and you have been injured. Your team is on the verge of being eliminated and you know that if you play the next match, your team has a high chance of winning but it might worsen your injury. Do you risk your health for the sake of the team's win?"
2,176,helping someone out when they want to find new things,"You are a librarian and a frequent visitor asks for recommendations on books that will broaden their horizons. You believe that some controversial books can stimulate their thinking, but you also fear that they might be offended by these books. Should you recommend the controversial books despite the risk of offending the visitor?"
3,257,wanting to keep food cool when picnicking.,"You're on a picnic with friends and brought a cooler to keep the food fresh. You notice a homeless person nearby who is visibly very hungry, but you only have enough food for your group. Do you give some of your food to the homeless person, knowing your friends might not have enough to eat later?"
4,283,Messing with other people's possessions.,"You've been living in a shared apartment for a few months. One day, you notice that your roommate has left his private journal open on the kitchen table, and you're tempted to read it to understand his recent odd behavior. Is it ethical to invade his privacy for the sake of understanding and possibly helping him?"
5,284,harming your body with drugs.,"John is a medical professional well-versed with the harmful effects of drugs on the body. However, he is tempted to use performance-enhancing drugs to win an upcoming sports event. Should John use the drugs to secure a victory, knowing the potential damage they could cause to his body?"
6,287,not doing something that is not your responsibility.,"You are an employee in a company and your colleague is consistently underperforming. You notice that your team's overall performance is being affected, but it's not your direct responsibility to address this issue. Should you report your colleague's underperformance to your manager?"
7,310,giving feedback to others.,"As a team leader, you've been asked to evaluate the performance of your team members. One of your team members is a close personal friend, but their performance has been subpar recently. Should you give your friend a positive review to maintain your relationship or be honest about their performance potentially damaging your friendship?"
8,337,having second thoughts about having kids when your wife gets pregnant because it's too late by then,"John and Mary have always planned to start a family, but when Mary becomes pregnant, John begins to have second thoughts. He loves his wife but feels unprepared for the responsibility of a child, and contemplates suggesting an abortion, a choice which contradicts their shared values. Should John voice his fears and suggest an abortion, potentially causing emotional harm to his wife?"
9,379,expressing one's style in their home with art,"John is a contemporary artist who loves to fill his home with his own modern art pieces. However, his wife is of Native American descent and feels uncomfortable with some of his art pieces that appear to mimic tribal symbols without recognizing their cultural significance. Should John continue to display these pieces in their shared home?"
10,393,wasting money on frivolous things.,"John is a single father with limited income, struggling to meet his children's needs. He wins a small amount in the lottery and is tempted to buy a luxurious item he has always desired, instead of saving it for his children's future. Should John indulge in buying the luxury item or save the money for his children's future needs?"
11,405,making noise in a movie theater.,"You are at a movie theater watching a highly anticipated film. In the middle of a crucial scene, a group of teenagers start causing a ruckus and disrupting the movie experience for everyone. Should you confront the teenagers directly or notify the theater staff about their inappropriate behavior?"
12,423,wanting to leave a bad review about a business you don't like.,"You recently had a negative experience at a local restaurant and want to express your dissatisfaction online. However, you know that this is a small family-owned business and a bad review could potentially harm their reputation and income. Should you still leave a negative review, knowing the potential consequences for the business?"
13,450,making someone your role model who doesn't want the position.,"As a young aspiring basketball player, you idolize a famous player who is known to live a controversial life off the court. You want to follow his footsteps in the sport, but you are also aware of his off-field antics which are not exemplary. Should you continue to idolize him despite his questionable lifestyle?"
14,504,giving up on your weight loss goals.,"You have been trying to lose weight for a long time without success. Your friend offers you an illegal weight loss drug that they claim will guarantee results, but it is not approved by any health organization. Should you take the illegal drug to achieve your weight loss goals?"
15,525,acting in a way that makes your child lose respect for you.,"You are a single parent struggling with financial issues. You resort to stealing food from your workplace to feed your family, and your child finds out about your actions. Would you continue to steal if it meant losing your child's respect but ensuring their survival?"
16,545,seeing a doctor if you hurt yourself,"You are a doctor who is also a devout Jehovah's Witness. A patient comes in with a severe injury and needs a blood transfusion to survive, but they are also a Jehovah's Witness and refuse the transfusion on religious grounds. Should you respect the patient's religious beliefs even if it means they could die?"
17,626,not everyone consistently making it over.,"A group of hikers is attempting a dangerous mountain pass. The team leader realizes that the slower members of the group are putting everyone at risk, but leaving them behind feels wrong. Should the leader press ahead with the faster members, potentially abandoning the slower ones?"
18,715,making sure your friend doesn't have any allergies when you cook for them,"You are planning a surprise dinner for your friend who hasn't explicitly mentioned any food allergies. You get to know from another friend that they might be allergic to peanuts, but you can't confirm without spoiling the surprise. Should you risk using peanuts in your recipe, possibly putting your friend's health at risk, or spoil the surprise by asking about their allergy?"
19,722,being with someone who only wants to party with their friends and not spending any time with you.,"You are in a romantic relationship with someone who constantly prefers partying with their friends over spending time with you. This person is the love of your life, and you feel torn between expressing your feelings and the fear of sounding controlling or possessive. Should you confront your partner about your feelings and demand more time together?"
20,793,helping show a new coworker the ropes at work.,"I am tasked with training a new coworker at my workplace. The new coworker is offering me a significant amount of money to complete his tasks for him while he learns. Should I accept the money and do his tasks, potentially compromising my work ethics?"
21,804,telling customers to enjoy their food.,You are a server at a fast-food restaurant known for its unhealthy food options. You know that regularly consuming these meals can lead to serious health issues. Is it ethical to encourage customers to enjoy their food knowing its potential harm to their health?
22,813,abandoning a child,"A single mother living in extreme poverty has a three-year-old child. She believes her child would have a better life in an orphanage, as she cannot provide basic needs due to her poverty. Should she abandon her child to the orphanage for a possibility of better life?"
23,856,being with someone just because you miss kissing.,"Sarah has been single for a long time and has started dating John only because she misses the intimacy of a relationship. However, she knows she doesn't have feelings for John, and she is aware that John is falling in love with her. Should Sarah continue to lead John on just to fulfill her desire for physical intimacy?"
24,893,sending someone dead flowers.,"John, a florist, receives an order for a bouquet of dead flowers to be delivered to his ex-girlfriend. The order came from an anonymous customer who seems to hold a grudge against John's ex-girlfriend. Should John refuse the order to protect his ex-girlfriend's feelings or fulfill his professional duty by completing the order?"
25,922,wanting to be around when someone you know is giving birth.,"You are a close friend of a woman who is about to give birth and she has asked you to be present in the delivery room. However, you are a healthcare professional and you know there are certain risks associated with childbirth, and you worry that your personal feelings might interfere with your professional judgment. Should you accept her request and potentially compromise your judgment or deny it and risk hurting your friendship?"
26,1029,asking for other people's opinions when you can't decide what wearing for your first day of school,"You are starting at a new school and you're unsure about the dress code. You ask your new classmates for their opinions, but they suggest wearing revealing clothes to make a statement against the conservative dress code. Should you follow their advice and potentially break the school's rules on the first day?"
27,1057,giving up your convenience to help others who are less able to do things themselves.,"You are a single parent working two jobs to support your family. Your elderly neighbor, who lives alone and has mobility issues, often needs help with household chores and grocery shopping, but helping her means sacrificing your only free time and rest. Should you give up your limited rest time to assist your neighbor?"
28,1106,telling people to back off if they are being too pushy and contacting you too much.,"You are the manager of a team and one of your team members is constantly reaching out to you with questions and concerns. This team member's persistent contact is affecting your ability to complete your own tasks, but you understand they are new and need your guidance. Should you tell them to back off, potentially discouraging them, or continue to let their behavior affect your productivity?"
29,1176,consuming whatever media makes you happy.,"You are a passionate animal rights activist and vegetarian. You enjoy watching a reality cooking show but they frequently prepare dishes using meat, which contradicts your stance on animal rights and vegetarianism. Would you continue to watch the show despite its content?"
30,1199,eating at the house of the person who struggles the most to get around.,"You've been invited to dinner at the house of a friend who has severe mobility issues due to a recent accident. During dinner, you notice that she's struggling to cook and serve food, which is taking a toll on her health and wellbeing. Should you offer to help her cook and serve, potentially hurting her pride and independence, or do you let her continue, causing her physical strain?"
31,1200,"If you're injured,  seeing a doctor.","You are a professional athlete with a minor but bothersome injury. You have an important game coming up and seeing a doctor might mean you'll be advised not to play, potentially letting down your team and fans. Should you ignore the pain and play, possibly worsening the injury?"
32,1205,renewing your vows.,"Your spouse has had a severe case of amnesia after an accident and doesn't remember your past together. You wish to renew your vows, but they don't remember the original commitment and can't fully comprehend the significance of the act. Is it ethical to ask them to renew the vows in their current state?"
33,1227,supporting your kids when they are having problems,"Your teenage daughter is being bullied at school. You find out that she has been skipping classes to avoid her tormentors and is considering fighting back physically. Should you advise her to stand up for herself and potentially escalate the situation, or should you tell her to continue avoiding conflict, potentially at the expense of her education and mental health?"
34,1261,listening to your significant other if they want you to change your behavior.,"You and your significant other have been together for a couple of years and they've been increasingly unhappy with your drinking habits. You believe that your drinking is not problematic and you enjoy it, but they believe it's affecting your relationship negatively. Should you change your drinking habits even though you believe they're not a problem?"
35,1285,accepting your stepkids.,"You have recently married a woman with two young children, and you're trying to accept them as your own. The kids are disrespectful and rude, not taking to you despite your best efforts, causing you to question if you should enforce discipline or let their biological father handle it. Should you step in and discipline your stepchildren, potentially overstepping boundaries, or stay passive and let their behavior continue?"
36,1290,feeling badly about alerting people to other's bad behavior.,"You are a student living in a shared apartment with three other students. One of your roommates consistently comes home extremely late, making a lot of noise and disturbing everyone's sleep, but they are unaware that their actions are causing problems. Should you confront the individual directly or bring up the issue with all the roommates?"
37,1347,being honest about your ability to be loving towards someone that's hard to love.,"You are a caregiver for an elderly man who is often rude and ungrateful. Despite your efforts to provide him with quality care and companionship, his attitude continues to be negative and hurtful. Should you continue to show him kindness and patience, potentially sacrificing your own emotional well-being?"
38,1352,carrying on inappropriate relationships with your students.,"As a university professor, you have a responsibility to maintain a professional relationship with your students. However, you find yourself developing romantic feelings for one of your students, which could potentially disrupt the learning environment and violate the university's ethical guidelines. Would it be ethical to pursue a relationship with the student after they've graduated?"
39,1363,needing love all through their life.,"Sarah is in a long-term relationship with John but she is not in love with him anymore. However, John is deeply in love with Sarah, and she fears that leaving him would shatter his world and cause him immense pain. Should Sarah stay in a loveless relationship to spare John's feelings or end it and cause him pain?"
40,1421,getting upset with someone even in public if they have done something to hurt you.,"I am at a public event with my friend who has a tendency for inappropriate jokes. My friend makes a derogatory joke about me in front of everyone, embarrassing and hurting me. Should I confront my friend publicly, potentially causing a scene, or should I keep quiet, allowing the offensive behavior to continue?"
41,1434,donating to someone when you don't trust them.,Your brother has a history of substance abuse but now claims to be clean and needs financial support to start afresh. You want to support him but are unsure if he will use the money for the right purpose. Should you give your brother the money?
42,1481,admitting if you like something you claimed to hate previously,"You are a teacher who has always openly criticized a specific genre of music in front of your students. One day, you accidentally let slip your admiration for a song from that genre and your students are confused and question your authenticity. Should you admit to your students that your previous statements were not entirely truthful, risking your credibility as a teacher?"
43,1545,telling your friends when they are being pigs.,"You are at a dinner party with your friends who are taking much more food than they can eat. You feel uncomfortable seeing the wastage of food, but you also don't want to ruin the mood by pointing out their behavior. Should you speak up and potentially make your friends feel embarrassed?"
