,value,WVS,MFT,Virtue,Emotion,Maslow
0,trust,Survival,Loyalty,,trust,love and belonging
1,self,,,,,self-esteem
2,honesty,,Fairness,Truthfulness,trust,self-esteem
3,responsibility,Traditional,Authority,,,self-esteem
4,respect,Self-expression,Authority,,trust,self-esteem
5,empathy,Self-expression,Care,,,love and belonging
6,understanding,,Care,,trust,self-actualization
7,fairness,Secular-rational,Fairness,,trust,self-esteem
8,integrity,,Fairness,,trust,self-esteem
9,accountability,Secular-rational,Fairness,,,self-esteem
10,professionalism,,Authority,,,self-esteem
11,patience,,,Patience,anticipation,
12,justice,,Fairness,,,safety
13,safety,Survival,Care,,trust,safety
14,loyalty,Traditional,Loyalty,,trust,love and belonging
15,support,,Care,,trust,love and belonging
16,transparency,Self-expression,Fairness,,trust,
17,courage,,,Courage,,self-esteem
18,love,,Care,,love,love and belonging
19,dignity,,Fairness,,,self-esteem
20,compassion,Self-expression,Care,,,self-actualization
21,cooperation,Self-expression,Fairness,,trust,love and belonging
22,professional integrity,Secular-rational,Fairness,Truthfulness,trust,self-esteem
23,concern,,Care,,fear,safety
24,resilience,Survival,,,,self-esteem
25,tolerance,Self-expression,Fairness,,trust,self-actualization
26,peace,,Care,,joy,safety
27,autonomy,Self-expression,Fairness,,,self-esteem
28,care,,Care,,,love and belonging
29,security,Survival,Authority,,trust,safety
30,trustworthiness,Survival,Authority,,trust,self-esteem
31,acceptance,,Care,,trust,love and belonging
32,reliability,Survival,,,trust,safety
33,stability,Survival,Authority,,trust,safety
34,teamwork,,Loyalty,,trust,love and belonging
35,disappointment,,,,sadness,
36,respect for others,Self-expression,Care,,trust,self-esteem
37,sacrifice,Traditional,Loyalty,,,
38,right to life,Traditional,Fairness,,,physiological
39,gratitude,,,,joy,self-actualization
40,unity,,Loyalty,,,love and belonging
41,health,Survival,Purity,,,safety
42,duty,Traditional,Authority,,trust,self-esteem
43,professional responsibility,Secular-rational,Authority,,trust,self-esteem
44,harmony,,Care,,trust,love and belonging
45,truthfulness,,Fairness,Truthfulness,trust,self-esteem
46,solidarity,Self-expression,Loyalty,,trust,love and belonging
47,respect for privacy,Secular-rational,Fairness,,trust,safety
48,privacy,Secular-rational,,,,safety
49,job security,Survival,,,trust,safety
50,independence,Self-expression,,,,self-esteem
51,financial stability,Survival,,,trust,safety
52,survival,Survival,,Courage,,physiological
53,authenticity,Self-expression,,,trust,self-actualization
54,right to privacy,Secular-rational,Fairness,,,safety
55,equality,Self-expression,Fairness,,,
56,betrayal,Survival,Loyalty,,disgust,
57,assertiveness,Self-expression,Authority,,,self-esteem
58,relief,,,,joy,safety
59,right to health,Survival,Fairness,,trust,safety
60,deception,Survival,,,disgust,
61,respect for autonomy,Secular-rational,Fairness,,trust,self-esteem
62,dishonesty,,,,disgust,
63,hope,,,,optimism,
64,reputation,Survival,Authority,Ambition,,self-esteem
65,confidentiality,,Authority,,trust,safety
66,prudence,Survival,,,,self-esteem
67,peace of mind,Survival,Care,,joy,safety
68,adaptability,Self-expression,,,,safety
69,commitment,Traditional,Loyalty,,trust,self-esteem
70,protection,Self-expression,Care,,trust,safety
71,duty of care,Traditional,Care,,trust,safety
72,respect for diversity,Self-expression,Fairness,,trust,self-actualization
73,productivity,Survival,,,,self-esteem
74,leadership,Secular-rational,Authority,,,self-esteem
75,openness,Self-expression,,,,self-actualization
76,comfort,Survival,Care,,trust,physiological
77,financial security,Survival,,,trust,safety
78,fear,Survival,,Courage,fear,safety
79,right to information,Self-expression,Fairness,Truthfulness,,safety
80,respect for life,Traditional,Care,,trust,self-actualization
81,truth,,,Truthfulness,,self-actualization
82,fair competition,Self-expression,Fairness,,optimism,self-esteem
83,consideration,,Care,,trust,love and belonging
84,freedom,Self-expression,Fairness,,,safety
85,law enforcement,Survival,Authority,Courage,trust,safety
86,financial responsibility,Survival,,Liberality,trust,safety
87,emotional support,Traditional,Care,Friendliness,trust,love and belonging
88,generosity,Self-expression,Care,Liberality,trust,self-esteem
89,social responsibility,Self-expression,Fairness,,trust,
90,efficiency,Survival,,,,self-esteem
91,ambition,Secular-rational,Authority,Ambition,anticipation,self-esteem
92,flexibility,Secular-rational,,,,
93,friendship,,Loyalty,,trust,love and belonging
94,respect for personal boundaries,Self-expression,Fairness,Friendliness,trust,love and belonging
95,profitability,Survival,,,optimism,
96,dependability,Survival,Authority,,trust,self-esteem
97,right to safety,Survival,Fairness,,trust,safety
98,guidance,Traditional,Authority,,trust,safety
99,worry,Survival,Care,,sadness,safety
100,dedication,,Loyalty,,anticipation,self-esteem
101,vulnerability,Survival,Care,,,safety
102,freedom of expression,Self-expression,Fairness,Truthfulness,optimism,self-esteem
103,perseverance,,,,,self-actualization
104,mutual respect,Self-expression,Authority,,trust,self-esteem
105,discipline,Traditional,Purity,,,self-esteem
106,opportunity,,Fairness,,anticipation,self-actualization
107,emotional security,Survival,Care,,trust,safety
108,partner,Secular-rational,,,,love and belonging
109,sustainability,Self-expression,,,,safety
110,endurance,Survival,,Temperance,,self-esteem
111,appreciation,,,,trust,self-esteem
112,respect for law,Traditional,Authority,,trust,safety
113,personal growth,Self-expression,Purity,,optimism,self-actualization
114,awareness,,,,,self-actualization
115,altruism,Self-expression,Fairness,,trust,self-actualization
116,impartiality,Secular-rational,Fairness,,,self-actualization
117,respect for rules,Traditional,Authority,,trust,safety
118,upholding justice,Self-expression,Fairness,,trust,safety
119,forgiveness,Traditional,Care,,trust,
120,communication,Self-expression,,,,love and belonging
121,right to know,Self-expression,Fairness,Truthfulness,anticipation,safety
